"ABBREV";"LABEL";"NAME";"DESCRIPTION";"DATA_TYPE";"NOT_NULL";"TYPE";"STATUS";"DISPLAY_NAME";"ONTOLOGY_REFERENCE";"BIBLIOGRAPHICAL_REFERENCE";"PROPERTY";"METHOD";"SCALE";"SCALE_UNIT";"SCALE_TYPE";"SCALE_LEVEL";"DEFAULT_VALUE";"MINIMUM_VALUE";"MAXIMUM_VALUE";"VARIABLE_SET";"SYNONYM";"ENTRY_MESSAGE";"CODED_VALUES";"NOTES"
;;"fertility restoration";;"integer";"FALSE";"observation";"active";"fertility restoration";"CO_320:0000339";"Crop Ontology";;;"Scale Pollen Sterility (%) - Spikelet Fertility (%):\n1= 90 and above - 90 and above\n2= 80-89 - 90 and above\n3= 90 and above - 75-89\n4= 80-89 - 75-89\n5= 70-79 - 75-89\n6= 70-79 - 60-74\n7= 60-69 - 60-74\n9= <60 - <60.";;"categorical";;;1;9;"hybrid";;;;"added by consie"
"FREST_SCOR_1_9";;"fertility restoration";"This trait is monitored at growth stage 6 for pollen fertility and growth stage 8-9 for spikelet fertility.";"integer";"FALSE";"observation";"active";"fertility restoration";;"SES 4th Ed. 1996";;"Pollen fertility is measured using 1% IKI solution and following the technique described for evaluating male sterile lines. However, in this case, emphasis is on extent of fertile pollen percentage. Spikelet fertility is monitored by counting the number of filled grains and total spikelets per panicle and converted into percentage.";"Scale Pollen Sterility (%) - Spikelet Fertility (%):\n1= 90 and above - 90 and above\n2= 80-89 - 90 and above\n3= 90 and above - 75-89\n4= 80-89 - 75-89\n5= 70-79 - 75-89\n6= 70-79 - 60-74\n7= 60-69 - 60-74\n9= <60 - <60.";;"categorical";;;1;9;"hybrid";;;;"added by consie"
"FLD_LOC";;"field location";"Name of the field location";"character varying";"FALSE";"metadata";;"Field location";;;;;;;;;;;;"plot metadata";;;;"added by consie"
"FLA_SCOR_1_7";"FLA";"flag leaf angle";"It is measured near the collar as the angle of attachment between the flag leaf blade and the main panicle axis. [CO:rs]";"integer";"FALSE";;"active";"Flag Leaf Angle";"CO_320:0000275";"Crop Ontology";;"Measured near the collar. Angle of attachment between the flag leaf blade and the main panicle axis. Record the average of five samples.\nCultivated species: score at anthesis.\nWild species: score 7 days after anthesis. [RD:7.3.22]";"1 Erect\n3 Semi-erect (intermediate)\n5 Horizontal\n7 Descending. [RD:7.3.22]";;"categorical";;;1;7;"morphological";;;;"consie"
;"FLA";"flag leaf angle";"It is measured near the collar as the angle of attachment between the flag leaf blade and the main panicle axis. [CO:rs]";"integer";"FALSE";;"active";"Flag Leaf Angle";"CO_320:0000454";"Crop Ontology";;"1 = Erect\n3 = Intermediate\n5 = Horizontal\n7 = Descending. []";"1 = Erect\n3 = Intermediate\n5 = Horizontal\n7 = Descending. []";;"categorical";;;1;7;"morphological";;;;"consie"
"FgLL_CONT";;"flag leaf length";"Length of flag leaf. [CO:rs]";"float";"FALSE";;"active";"Flag Leaf Length";"CO_320:0000271";"Crop Ontology";;"Measure length of the flag leaf, from the ligule to the tip of the blade, on five\nrepresentative plants. Calculate average to nearest cm. Stage: 7 days after\nanthesis. [RD:7.3.20]";"Measured in cm. [RD:7.3.20]";;"continuous";;;;;"morphological";;;;"consie"
"FgLW_CONT";;"flag leaf width";"Width of flag leaf. [CO:rs]";"float";"FALSE";;"active";"Flag Leaf Width";"CO_320:0000137";"Crop Ontology";;"Measure width at the widest portion of the flag leaf on five representative plants. Calculate average to nearest cm. Stage: 7 days after anthesis. [RD:7.3.21]";"Measured in cm. [RD:7.3.21]";;"continuous";;;;;"morphological";;;;"consie"
"GM_FLD_0_9";"GM";"gall midge";"Causal agent: Orseolia oryzae.";"integer";"FALSE";"observation";;"gall midge";;"SES 4th Ed. 1996";;"For the field test to be valid more than 60% of the plants should be affected with not less than 15% silver shoot in the susceptible check. Similarly, 60% of the plants in susceptible check shoul show silver shoots under greenhouse tests.\n\nIf any of the test entry in field evaluation exhibits damage less than 10% on plants basis, rate it in ""0"" category, since such damage could be due to other reasons.\n\nAt growth stage: 2-5";"SCALE (Infected tillers in field test)\n0= No damage\n1= Less than 1%\n3= 1-5%\n5= 6-10%\n7= 11-25%\n9= More than 25%";;"categorical";;;0;9;"stress";;;;"added by consie"
"GM_GRNH_0_9";"GM";"gall midge";"Causal agent: Orseolia oryzae.";"integer";"FALSE";"observation";;"gall midge";;"SES 4th Ed. 1996";;"For the field test to be valid more than 60% of the plants should be affected with not less than 15% silver shoot in the susceptible check. Similarly, 60% of the plants in susceptible check shoul show silver shoots under greenhouse tests.\n\nIf any of the test entry in field evaluation exhibits damage less than 10% on plants basis, rate it in ""0"" category, since such damage could be due to other reasons.\n\nAt growth stage: 2-5";"SCALE (Plants with silver shoots in greenhouse test)\n0= No injury\n1= Less than 5%\n3= 6-10%\n5= 11-20%\n7= 21-50%\n9= More than 50%.";;"categorical";;;0;9;"stress";;;;"added by consie"
;;"gall midge damage";"The trait is scored for the plant damage caused by gall midge (Orseolia oryzae). [CO:rs]";"integer";"FALSE";"observation";;"gall midge";"CO_320:0000199";"Crop Ontology";;"At growth stage: 2-5.\nNote: For the field test to be valid more than 60% of the plants should be affected with not less than 15% silver shoot in the susceptible check.";"SCALE (Infected tillers in field test)\n0 No injury\n1 Less than 1%\n3 1-5%\n5 6-10%\n7 11-25%\n9 More than 25%\n\n\n\nSCALE (Plants with silver shoots in greenhouse test)\n0 No injury\n1 Less than 5%\n3 6-10%\n5 11-20%\n7 21-50%\n9 More than 50%. [SES:65]";;"categorical";;;0;9;"stress";;;;"added by consie"
"GELC_SCOR_1_5";"GELC";"gel consistency";"Scoring of carbohydrate composition in grain by gel consistency type in mm. It measures the tendency of cooked rice to harden when it cools down. [CO:rs]";"character varying";"FALSE";"observation";"active";"GelCon";"CO_320:0000244";"Crop Ontology";;"Ground rice (0.1 g) is placed in a test tube with thymol blue (0.025% in ethanol, 0.2 ml) and KOH (0.2N, 2 ml). The tube is shaken to ensure contents are mixed, boiled (8 min), rested (5 min) and then placed in an ice-bath (15 min). Cooled tubes are laid flat on graph paper for 1 hour, and then the distance that the gel travels is measured. [RD:8.1.6]";"Scale Gel length Gel consistency type\n1 81-100 mm Soft\n2 61-80 mm Soft\n3 41-60 mm Intermediate\n4 36-40 mm Hard\n5 <36 mm Hard. [RD:8.1.6]";;"categorical";"interval";;"9:Less than 35 Hard";"1:80-100 Soft";"agronomic";;;"1 80-100 Soft;3 61-80 Soft;5 41-60 Medium;7 36-40 Hard;9 Less than 35 Hard";"consie"
"GELC_SCOR_1_9";"GELC";"gel consistency";"Scoring of carbohydrate composition in grain by gel consistency type in mm. It measures the tendency of cooked rice to harden when it cools down. [CO:rs]";"character varying";"FALSE";"observation";"active";"GelCon";"CO_320:0000455";"Crop Ontology";;"Use standard laboratory procedures to determine the gel consistency. [SES:132]";"Scale (mm) : Gel Consistency type\n1 = 80-100 mm : Soft\n3 = 61-80 mm : Soft\n5 = 41-60 mm : Medium\n7 = 36-40 mm : Hard\n9 = Less than 35 mm : Hard. [SES:132]";;"categorical";"interval";;"9:Less than 35 Hard";"1:80-100 Soft";"grain quality";;;"1 80-100 Soft;3 61-80 Soft;5 41-60 Medium;7 36-40 Hard;9 Less than 35 Hard";"consie"
"GELC_CAT";"GELC";"gel consistency";"Scoring of carbohydrate composition in grain by gel consistency type in mm. ";"character varying";"FALSE";"observation";;"GelCon";;"Crop Ontology";;;;;"categorical";;;;;"grain quality";;;"1 80-100 Soft;3 61-80 Soft;5 41-60 Medium;7 36-40 Hard;9 Less than 35 Hard";"consie"
"GELC_CONT";"GELC";"gel consistency";"Scoring of carbohydrate composition in grain by gel consistency type in mm.";"float";"FALSE";"observation";;"GelCon";;;;"Use actual value in mm.";"Measure in mm.";;"continuous";;;;;"grain quality";;;;"consie"
"GELT_SCOR_1_7";"GELT";"gelatinization temperature";"Temperature for the gelatinization process. [CO:rs]";"character varying";"FALSE";"observation";"active";"GelTemp";"CO_320:0000107";"Crop Ontology";;"Place six milled-rice kernels in 10 ml 1.7% KOH in a shallow container and arrange them so that they do not touch. Let it stand for 23 hours at 30 C and score for spreading. []";"1 = High\n2 = High\n3 = High or intermediate\n4 = Intermediate\n5 = Intermediate\n6 = Low\n7 = Low. []";;"categorical";"ordinal";;"7:Low";"1:High";"grain quality";;"Place six milled-rice kernels in 10 ml 1.7% KOH in a shallow container and arrange them so that they do not touch. Let it stand for 23 hours at 30 C and score for spreading.";"1:High;2:High;3:High or intermediate;4:Intermediate;5:Intermediate;6:Low;7:Low";"consie"
"GELT_CONT";"GELT";"gelatinization temperature";;"character varying";"FALSE";"observation";;"GelTemp";;;;"Six milled rice grains (kernels) are incubated for 23h in 10ml of 1.7% KOH. Individual kernels are scored based on the spreading. Scores of 6 kernels are NOT averaged. Combination of scores (example, 3 kernels with score of ""2"" and 3 kernels with score of ""3"") gives a final GT of H/HI (high/high-intermediate) and so on.";"Gelatinization Temperature     Score    Spreading\n\nHigh (H)    1    Kernel not affected\nHigh (H)    2    Kernel swollen\nHigh-intermediate (HI)    3    Kernel swollen; collar complete or narrow\nIntermediate (I)    4    Kernel swollen; collar complete and wide\nIntermediate (I)    5    kernel split or segregated; collar complete and wide\nLow (L)    6    Kernel dispersed; merging with collar\nLow (L)    7   Kernel completely dispersed and intermingle";;"continuous";;;"7: Low";"1: High";"grain quality";;;;"added by consie"
"GID";"GID";"Germplasm ID";"IRIS Germplasm identification number";"integer";"TRUE";"identification";"active";"IRIS GID";;;;;;;"continuous";;;1;999999999;"product metadata";;;;"added by weusebio"
"GlO_CONT";;"glume opening";"Angle of opening of glumes is measured on each floret, assessment based on mean angle of glume opening. [CO:rs]";"float";"FALSE";"observation";"active";"glume opening";"CO_320:0000094";"Crop Ontology";;;;;"continuous";;;;;"agronomic";"glume opening;opening of glume of male sterile lines";;;"added by consie"
"GlO_SCOR_1_9";;"glume opening";"This trait is monitored at growth stage 6 during the time (9:00AM - 12:00Noon) when rice florets are blooming.";"integer";"FALSE";"observation";"active";"glume opening";;"SES 4th Ed. 1996";;"Between 5-10 blooming florets of a male sterile line are collected from different plants and angle of opening of glumes (viz., lemma and palea) is measured on each floret. Following scale is used to classify male sterile lines on the basis of mean angle of glume opening.";"1= 50 above\n3= 40-49\n5= 30-39\n7= 20-29\n9= Below 20";;"categorical";;;1;9;"agronomic";;;;"added by consie"
;"Gd";"Grain discoloration";"Causal agent: Species of Sarocladium, Bipolaris, Alternaria, Gerlachia, Fusarium, Phoma, Curcularia, Trichoconiella, and Pseudomonas, etc.\n\nSymptoms: Darkening of glumes of spikelets, brown color to black including rotten glumes caused by one or more pathogens. Intensity ranges from sporadic discoloration to discoloration of the whole glume.";"integer";"FALSE";"observation";;"Grain discoloration";;"SES 4th Ed. 1996";;"Severity of grain discoloration can be estiamted by counting grains with more than 25% of glume surface affected.\nAt growth stage: 8-9";"Scale (Grains with severely discolored glumes)\n\n0= No incidence\n1= Less than 1%\n3= 1-5%\n5= 6-25%\n7= 26-50%\n9= 51-100%";;"categorical";;;0;9;"stress";;;;"added by consie"
"ELON_GRAIN_CONT";;"grain elongation in deepwater";"Elongation or growing of rice in areas annually flooded to varying depths. The scale is based on the performance of check varieties. [CO:rs]";"float";"FALSE";"observation";;"grain elongation in deepwater";"CO_320:0000105";"Crop Ontology";;"Specify water depth under which the data was recorded. At growth stage: 5-6.";;;;;;;;"grain quality";"elongation (grain)";;;"added by consie"
"GRL_CONT";"GRL";"grain length";;"float";"FALSE";"observation";"active";"Grain Length";"CO_320:0000459";"Crop Ontology";;"Enter the mean length in millimeters as the distance from the base of the lowermost sterile lemma to the tip (apiculus) of the fertile lemma or palea. In the case of awned varieties, the grain is measured to a point comparable to the tip of the apiculus. [SES:121]\n\nAt Growth Stage 9 (Mature Grain)";"Measured in mm.";;"continuous";;;;;"grain quality";"seed length";;;"consie (edited by WE)"
"GRL_CONT_1_7";"GRL";"grain length";;"integer";"FALSE";"observation";"active";"Grain Length";;"SES 4th Ed. 1996";;"Enter the mean length in millimeters as the distance from the base of the lowermost sterile lemma to the tip (apiculus) of the fertile lemma or palea. In the case of awned varieties, the grain is measure to a point comparable to the tip of the apciculus.  \n\nAt Growth Stage 9 (Mature Grain)";"1= Extra long (more than 7.5 mm)\n3= Long (6.6 to 7.5 mm)\n5= Medium (5.51-6.6 mm)\n7= Short (5.5mm or less)";;"continuous";;;1;7;"grain quality";;"Following the scale for Brown rice length.";;"consie (edited by WE)"
"GRS_CONT";"GRS";"grain shape";"An assay to determine the variation in the shape of the dehulled grain. [CO:rs]";;"FALSE";"observation";"active";"Grain Shape";"CO_320:0000464";"Crop Ontology";;"Grain Length and Width Ratio. []";;;"continuous";;;;;"morphological";;;;"consie"
"GRS_CONT_1_9";"GRS";"grain shape";;"integer";"FALSE";"observation";"active";"Grain Shape";;"SES 4th Ed. 1996";;"Grain Length and Width Ratio. Following the Brown rice shape scale. At Growth Stage 9 (after harvesting, cleaning and dehulling)";"1= Slender (Over 3.0)\n3= Medium (2.1 to 3.0)\n5= Bold (1.1 to 2.0)\n9= Round (Less than 1.1)";;"continuous";;;1;9;"grain quality";;"Kernel shape can be easily estimated by this method (avoid broken samples).";;"consie"
;;"grain size";"Seed size is determined by its length to width ratio. [CO:rs]";"float";"FALSE";;"active";"Grain Size";"CO_320:0000466";;;"Measurement of grain size from the mature grain, still with lemma and palea. []";;;"continuous";;;;;"morphological";;;;
;;"grain thickness";"Thickness of the seed or fruit caryopsis with the hull. [CO:rs]";"float";"FALSE";;"active";"Grain Thickness";"CO_320:0000309";;;"(Wild species). Preferably, measure with a calliper or photo-enlarger. Average of 10 representative grains. Stage: after harvest. [RD:7.5.17]";"Measured in mm. [RD:7.5.17]";;"continuous";;;3;7;;;;;
"GRW_CONT";"GrW";"grain width";"Width of the dehulled grain with pericarp. [CO:rs]";"float";"FALSE";"observation";"active";"Grain Width";"CO_320:0000306";"Crop Ontology";;"Measured as the distance across the fertile lemma and palea at the widest point. Preferably, measure with calliper or photo-enlarger. Average of 10 representative grains. [RD:7.5.16]";"Measured in mm. [RD:7.5.16]";;"continuous";;;;;"morphological";"seed width";;;"weusebio"
;"GRW";"grain width";"Width of the dehulled grain with pericarp. [CO:rs]";"float";"FALSE";"observation";"active";"Grain Width";"CO_320:0000467";"Crop Ontology";;"At Growth Stage 9 (Mature Grain)";"Measure in mm. [SES:122]";;"continuous";;;;;"morphological";"seed width";;;"consie"
;;"grassy stunt virus";"The trait is scored for the plant response to the agent rice grassy stunt virus (RGSV). There are two known RGSV strains, rice grassy stunt virus 1 ( RGSV1) and rice grassy stunt virus 2 (RGSV2). [CO:rs]";"integer";"FALSE";"observation";"active";"Grassy stunt virus";"CO_320:0000353";"Crop Ontology";;;"SCALE (RGSV1)\n1= No symptom observed\n3= Pale green and slightly narrow leaves, no height reduction and with few small tillers.\n5= Pale green and slightly narrow leaves, 1-10% height reduction, and with numerous small tillers.\n7= Pale green to yellow and narrow leaves with some rusty spots, 11-30% height reduction, and with numerous small tillers.\n9= Pale green to yellow and narrow leaves with numerous rusty spots, more than 30% height reduction and with numerous small tillers.\n\n\nSCALE (RGSV2)\nNo symptom observed\n3= Pale yellow and slightly narrow leaves, no height reduction, and with numerous small tillers\n5= Distinct yellow and narrow leaves, 1-10% height reduction, and with numerous small tillers\n7= Yellow to orange and narrow leaves with some rusty spots, 11-30% height reduction, and with few small tillers\n9= Yellow to orange and narrow leaves with numerous rusty spots, >30% height reduction and with few small tillers.";;"categorical";;;1;9;"stress";"RSGV;RSGV1;RSGV2";;;"added by consie"
"RGSV1_SCOR_1_9";"RGSV1";"grassy stunt virus";"Causal agent: Rice grassy stunt virus 1 (RGSV1) and rice grassy stunt virus 2 (RGSV2).\nSymptoms: RGSV1: Severe stunting, excessive tillering, pale green to yellow and narrow leaves with small rusty spots. RGSV2: Severe stunting, excessive tillering, yellow to orange and narrow leaves with and small rusty spots.\n\nAt growth stages: 2-3 (for the greenhouse)\n4-6 (for the field)";"integer";"FALSE";"observation";"active";"Grassy stunt virus 1";;"SES 4th Ed. 1996";;"Score and calculate DI at 5 weeks after inoculation in the greenhouse.";"Scale (RGSV1)\n1= No symptom observed\n3= Pale green and slightly narrow leaves, no height reduction and with few small tillers.\n5= Pale green and slightly narrow leaves, 1-10% height reduction, and with numerous small tillers.\n7= Pale green to yellow and narrow leaves with some rusty spots, 11-30% height reduction, and with numerous small tillers.\n9= Pale green to yellow and narrow leaves with numerous rusty spots, more than 30% height reduction and with numerous small tillers.";;"categorical";;;1;9;"stress";;;;"added by consie"
"RGSV2_SCOR_1_9";"RGSV2";"grassy stunt virus";"Causal agent: Rice grassy stunt virus 1 (RGSV1) and rice grassy stunt virus 2 (RGSV2).\nSymptoms: RGSV1: Severe stunting, excessive tillering, pale green to yellow and narrow leaves with small rusty spots. RGSV2: Severe stunting, excessive tillering, yellow to orange and narrow leaves with and small rusty spots.\n\nAt growth stages: 2-3 (for the greenhouse)\n4-6 (for the field)";"integer";"FALSE";"observation";"active";"Grassy stunt virus 2";;"SES 4th Ed. 1996";;"Score and calculate DI at 5 weeks after inoculation in the greenhouse.";"SCALE (RGSV2)\n1= No symptom observed\n3= Pale yellow and slightly narrow leaves, no height reduction, and with numerous small tillers\n5= Distinct yellow and narrow leaves, 1-10% height reduction, and with numerous small tillers\n7= Yellow to orange and narrow leaves with some rusty spots, 11-30% height reduction, and with few small tillers\n9= Yellow to orange and narrow leaves with numerous rusty spots, >30% height reduction and with few small tillers.";;"categorical";;;1;9;"stress";;;;"added by consie"
"GLH_SCOR_0_9";"GLH";"green leafhopper";"The trait is scored for the plant damage caused by green leafhopper (Nephotettix virescens and Nephotettix cincticeps). [CO:rs]";"integer";"FALSE";"observation";"active";"Green leafhopper";"CO_320:0000200";"Crop Ontology";;"Greenhouse evaluation";"0= No injury\n1= Very slight injury\n3= First and 2nd leaves yellowing\n5= All leaves yellow; pronounced stunting or both\n7= More than half the plants dead;stunting or both remaining plants wilting; severely stunted\n9= All plants dead. [SES:61]";;"categorical";;;0;9;"stress";;;;"consie"
;"GLH";"green leafhopper";"Causal agent: Nephotettix spp.\nSymptoms: Partial to pronounced yellowing and increasing severity of stunting. Extreme signs are wilting to death of plants. Infested areas in the field may be patchy.\n\nAt growth stage: 2 (greenhouse)\n3-9 (field)";"integer";"FALSE";"observation";"active";"Green leafhopper";;"SES 4th Ed. 1996";;;"0= No damage\n1= Very slight damage\n3= First and 2nd leaves yellowing\n5= All leaves yellow; pronounced stunting or both\n7= More than half the plants, dead; remaining plants wilting; severely stunted\n9= All plants dead";;"categorical";;;0;9;"stress";;;;"added by consie"
"HVDATE_CONT";"HVDATE";"harvest date";"Date of harvest";"character varying";"FALSE";"metadata";;"harvest date";;"IRIS";;"Record the harvest date";;;"continuous";;;;;;;;;"added by consie"
"HVHILL_CONT";;"harvested hill";"Number of hills harvested";"float";"FALSE";"observation";;"harvested hill";;"IRIS";;"Count the number of hills harvested";;;"continuous";;;;;;;;;"added by consie"
"HTol_SCOR_1_9";"HTol";"heat tolerance";"tolerance to warm temperatures if plant is exposed to above than permissive temperature limits. [CO:rs]";"integer";"FALSE";"observation";;"heat tolerance";"CO_320:0000062";"Crop Ontology";;;"1 More than 80%\n3 61-80%\n5 41-60%\n7 11-40%\n9 Less than 11%. [SES:76]";;"categorical";;;1;9;"stress";;;;"added by cosie"
"HDR_CONT";"HDR";"head rice";"The 3/4 or longer whole milled kernels separated from the total milled rice. [CO:rs]";"float";"FALSE";"observation";"active";"Head rice";"CO_320:0000471";"Crop Ontology";;"Average length of kernels computed from 10 randomly selected whole kernels. 8/10th of the average length is the minimum length for head rice. All kernels with length equal to or more than this value are considered head rice.";;;"continuous";;;;;"grain quality";;;;"added by consie"
;;"hoja blanca";"The trait is scored for the plant response to the agent rice hoja blanca virus (RHBV) causing hoja blanca. [CO:rs]";"integer";"FALSE";"observation";"active";"Hoja blanca";"CO_320:0000359";"Crop Ontology";;;"SCALE (Incidence: % plants or hills showing symptoms)\n0= No symptom observed\n1= Less than 1%\n3= 1-10%\n5= 11-30%\n7= 31-60%\n9= 61-100%.";;"categorical";;;0;9;"stress";"HBVRS;RHBV";;;"added by consie"
"INSECT_PROT";"Insect_proctect";"Insect protection";"Extent of insect protection implemented during trial";"character varying";"FALSE";"metadata";"active";"insect protection";;"IRIS";;;;;"continuous";;;;;"field management";;;;"added by weusebio"
"FETOX_SCOR_0_9";"FeTox";"iron toxicity";"Sensitivity to the iron ion content in the growth environment. [CO:rs]";"integer";"FALSE";"observation";;"Iron Toxicity";"CO_320:0000063";"Crop Ontology";;;"SCALE (Injured panicles)\n0= Growth and tillering nearly normal\n1= Growth and tillering nearly normal; reddish-brown spots or orange discoloration on tips of older leaves\n3= Growth and tillering nearly normal; older leaves reddish-brown, purple, or orange yellow\n5= Growth and tillering retarded; many leaves discolored\n7= Growth and tillering ceases; most leaves discolored or dead\n9= Almost all plants dead or dying. [SES:72]";;"categorical";;;1;9;"stress";"iron sensitivity";;;"added by consie"
"FETOX_GRNH_1_9";"FeTox";"iron toxicity";;"integer";"FALSE";"observation";;"Iron Toxicity";;"SES 4th Ed. 1996";;"At growth stage: 2-5";"1= Growth and tillering nearly normal\n2= Growth and tillering nearly normal; reddish-brown spots or orange discoloration on tips of older leaves\n3= Growth and tillering nearly normal; older leves reddish brown, purple, or orange yellow\n5= Growth and tillering ceases; most leaves discolored or dead\n9= Almost all plants dead or dying";;"categorical";;;1;9;"stress";;;;"added by consie"
"FE1_FLD_1_9";"FE1";"iron toxicity";"Observation done in the field";"integer";"FALSE";"observation";;"iron Toxicity";;"SES 4th Ed. 1996";;;"1= Growth and tillering nearly normal\n2= Growth and tillering nearly normal; reddish-brown spots or orange discoloration on tips of older leaves\n3= Growth and tillering nearly normal; older leves reddish brown, purple, or orange yellow\n5= Growth and tillering retarded; many leaves discolored\n7= Growth and tillering ceases; most leaves discolored or dead\n9= Almost all plants dead or dying";;"categorical";;;1;9;"stress";;;;"added by consie"
;;"kernel smut";"The trait is scored for the plant response to the agent Tilletia barclayana causing kernel smut. [CO:rs]";;"FALSE";"observation";;"Kernel smut";"CO_320:0000180";"Crop Ontology";;"At growth stage: 9.";;;;;;;;"stress";;"Symptoms: Infected grains show minute black pustules or streaks bursting through the glumes. In severe infection, the rupturing glumes produce short beak-like or spur-like growths.";;"added by consie"
;"KSm";"kernel smut";"Causal agent: Tilletia barclayana.\nSymptoms: Infected grains show minute black pustules or streaks bursting through the glumes. In severe infection, the rupturing glumes produce short beak-like or spur-like outgrowths.";;"FALSE";"observation";;"kernel smut";;"SES 4th Ed. 1996";;"At growth stage: 9.";;;;;;;;"stress";;;;"added by consie"
;"KnA";"kneeing ability";"The tiller angle measurement for kneeing. [CO:rs]";"integer";"FALSE";"observation";;"kneeing ability";"CO_320:0000064";"Crop Ontology";;;"SCALE\n1 Tiller angle greater than 45?? for 50% of tillers\n3 Tiller angle greater than 45?? for 25% of tillers\n5 Maximum tiller angle is less than 45?? for 50% of tillers (Tiller angle greater than 45?? for 1 or 2 tillers)\n7 Maximum tiller angle less than 30??\n9 No kneeing. [SES:87]";;"categorical";;;1;9;"stress";;;;"added by consie"
;"LA";"leaf angle";"The angle of openness of the blade tip is measured against the culm of the leaf below the flag leaf. [CO:rs]";"integer";"FALSE";"observation";"active";"Leaf Angle";"CO_320:0000014";"Crop Ontology";;"At growth stage: 4-5";"1 Erect\n5 Horizontal\n9 Drooping. [SES:97]";;"categorical";;;1;9;"morphological";;;;"consie"
"LBC_SCOR_1_2";"LBC";"leaf blade color";"Color of the leaf lamina/blade. [CO:rs]";"integer";"FALSE";"observation";"active";"Leaf Blade Color";"CO_320:0000251";"Crop Ontology";;"Stage: late vegetative. [RD:7.3.5]";"0 Absent\n1 Present. [RD:7.3.5]";;"categorical";;;0;1;"morphological";"leaf lamina color";;;"weusebio"
"LBC_SCOR_1_7";"LBC";"leaf blade color";"Color of the leaf lamina/blade. [CO:rs]";"integer";"FALSE";"observation";"active";"Leaf Blade Color";"CO_320:0000413";"SES 4th editon 1996";;"Observation at growth stage 4-6. At Growth Stage 4-6;Vegetative Stage. []";"1= Light green\n2= Green\n3= Dark Green\n4= Purple tips\n5= Purple margins\n6= Purple blotch (purple mixed with green)\n7= Purple."" [SES:95]";;"categorical";;;1;7;"morphological";"leaf lamina color";;;"added by weusebio"
;"LBP";"leaf blade pubescence";"Extent of pubescence (presence of hairs) on the leaf blade surface. [CO:rs]";"integer";"FALSE";"observation";;"leaf blade pubescence";"CO_320:0000013";"Crop Ontology";;"Assess both visually and by touch, rubbing fingers over the leaf surface from the tip downwards. Stage: late vegetative. [RD:7.3.9]";"1 Glabrous (smooth-including ciliated margins)\n2 Intermediate\n3 Pubescent. [RD:7.3.9]";;"categorical";;;1;3;"morphological";;"Methodology: Aside from ocular inspection, rub fingers from the tip down on the leaf surface. Presence of hairs on the blade surface are classified as glabrous (1), Intermediate (2) and pubescent (3). At growth stage: 5-6.";;"added by consie"
"BL_NURS_0_9";"Bl";"leaf blast";"Causal agent: Magnaporthe grisea (Pyricularia oryzae).";"integer";"FALSE";"observation";"active";"Leaf Blast";;"SES 4th Ed. 1996";;" Use this scale only for the nursery. Actual estimation of blast affected leaf area (%) is recommended for field assessment of blast disease together with predominant lesion type (see coding system for lesion type).\n\n\nEntries with scores 4-9 may also have lesions of scale 1 or 2. In cases where the lesion develop only on the collar, joint of the leaf sheath and the leaf blade, causing the leaf blade to drop off, a scale unit of 4 is to be given.\n\n\nEntries with consistent rating, between 4 and 6 with overall average not higher than 5.5 may have a good level of quantitative resistance.\n\n\nLesion types 5, 7 and 9 are considered typical susceptible lesions.";"SCALE (for blast nursery)\n0= No lesions observed\n1= Small brown specks of pin-point size or larger brown specks without sporulating center\n2= Small roundish to slightly elongated, necrotic gray spots, about 1-2 mm in diameter, with a distinct brown margin\n3= Lesion type is the same as in scale 2, but a significant number of lesions are on the upper leaves\n4= Typical susceptible blast lesions2 3 mm or longer, infecting less than 4% of the leaf area\n5= Typical blast lesions infecting 4-10% of the leaf area\n6= Typical blast lesions infection 11-25% of the leaf area\n7= Typical blast lesions infection 26-50% of the leaf area\n8= Typical blast lesions infection 51-75% of the leaf area and many leaves are dead\n9= More than 75% leaf area affected.";;"categorical";;;1;9;"stress";;;"CODE (Predominant lesion type)\n0= No lesions observed\n1 Small brown specks of pinpoint size or larger brown specks without sporulating center\n3= Small, roundish to slightly elongated necrotic sporulating spots, about 1-2 mm in diameter with a distinct brown margin or yellow halo\n5= Narrow or slightly elliptical lesions, 1-2 mm in breadth, more than 3 mm long with a brown margin\n7= Broad spindle-shaped lesion with yellow, brown, or purple margin\n9= Rapidly coalescing small, whitish, grayish, or bluish lesions without distinct margins.";"added by consie"
